family,n_features,feature,horizon,n_vintages,n_folds,n_obs_test,ic_mean,ic_std,ic_t,ic_ci_low,ic_ci_high,gross_spread,net_spread,monotonicity,bucket_profile,bucket_edges,p_reversion,p_continuation,n_trades,win_rate,avg_pnl,sharpe,mfe_mean,mae_mean,confidence,sign_consistency
outrights,13,composite,20,23,20,49307,-0.02573112027054276,0.24604574192567313,-0.46768973615920045,-0.13356542115649708,0.08210318061541155,-0.12898359319607222,-0.1489835931960722,0.7999999999999999,"[0.018, 0.0522, 0.0497, 0.1748, 0.147]","[-1.9404, -0.3405, -0.0259, 0.2527, 0.6158, 2.2727]",0.4971159684274438,0.5028840315725562,2033,0.5051647811116576,0.2660501721593707,0.1820131159735501,3.233202164289228,-2.874166256763404,6.100300906424353,0.45
outrights,13,composite,25,23,19,48339,-0.0353195493206235,0.23889015723269685,-0.6444566323008255,-0.14273766436316984,0.07209856572192283,0.17414526204078756,0.15414526204078757,-0.09999999999999999,"[0.4994, 0.074, 0.1647, 0.4008, 0.3253]","[-1.9381, -0.3248, -0.0294, 0.2178, 0.521, 2.1826]",0.487698986975398,0.512301013024602,1631,0.5438381361128142,0.24267320662170466,0.13547162449064715,3.668700183936236,-3.4277743715511955,8.788044985920347,0.47368421052631576
outrights,13,composite,30,23,19,47394,-0.0051525002402538185,0.21436984120656202,-0.10476859863974161,-0.10154493654288749,0.09123993606237984,-0.16365833612115022,-0.1836583361211502,0.6,"[0.3498, 0.2235, 0.3082, 0.5549, 0.5135]","[-1.7915, -0.2676, -0.0244, 0.1839, 0.4372, 2.1821]",0.4867330448834906,0.5132669551165094,1369,0.5091307523739956,-0.024054054054053718,-0.011889227913054398,4.009700511322134,-3.733104455807158,1.2699224077544435,0.42105263157894735
calendars,13,composite,20,21,18,274587,0.0023432738573223506,0.11190075835556297,0.08884362496051414,-0.0493522390440597,0.0540387867587044,-0.0027460437472222043,-0.012746043747222205,0.6,"[0.0763, 0.0437, 0.0975, 0.1398, 0.079]","[-3.117, -0.3397, -0.0033, 0.2699, 0.6036, 2.8122]",0.5175485385107745,0.48245146148922546,11819,0.4844741517894915,0.004861663423301505,0.009693930990723122,0.8170835096031813,-0.7524012183771893,1.5512378961359612,0.6111111111111112
calendars,13,composite,25,21,18,264302,-0.015860419483855248,0.1480931008354205,-0.4543767443411481,-0.08427594157099899,0.052555102603288495,0.04388568800182022,0.033885688001820215,-0.3,"[0.1319, 0.1529, 0.1098, 0.1617, 0.088]","[-3.4386, -0.2859, 0.0003, 0.2115, 0.4935, 2.5197]",0.5198205331221958,0.4801794668778042,9692,0.47028477094510934,-0.06994531572430868,-0.10541659325633064,0.890724308708213,-0.8908749484110607,5.769863420205055,0.4444444444444444
calendars,13,composite,30,21,18,254405,-0.02472350016805552,0.19966166715176978,-0.5253533601983803,-0.11696248444159367,0.06751548410548262,0.0823837714675436,0.0723837714675436,-0.39999999999999997,"[0.1773, 0.1737, 0.1204, 0.2045, 0.0949]","[-3.4593, -0.2647, -0.0001, 0.1947, 0.474, 2.4328]",0.5352586901882677,0.46474130981173234,7934,0.46483488782455257,-0.0990521804890345,-0.1319420263495734,0.9854348374086211,-0.9897731283085456,6.671153780296891,0.4444444444444444
cracks,13,composite,20,16,13,31518,0.030434726996197235,0.10066307754317762,1.0901114034832566,-0.02428634529232213,0.0851557992847166,-0.8820846635063568,-0.9120846635063569,0.8999999999999998,"[0.3579, 0.8708, 1.1831, 0.9719, 1.24]","[-2.9446, -0.5564, -0.2591, -0.0309, 0.2304, 5.1453]",0.5191732201266616,0.48082677987333844,1389,0.4838012958963283,-0.2743268538516918,-0.24520883882601452,1.943484521238301,-2.3905255579553635,20.439588815311062,0.6923076923076923
cracks,13,composite,25,16,13,30059,0.06710972783310455,0.06414578211861374,3.7721508225944205,0.03223968346345303,0.10197977220275607,-0.9232471858638625,-0.9532471858638625,0.9999999999999999,"[0.7147, 1.057, 1.1562, 1.1795, 1.638]","[-2.9643, -0.5638, -0.2725, -0.0458, 0.2123, 5.0961]",0.5172756296559063,0.48272437034409366,1114,0.4730700179533214,-0.29794434470377024,-0.20827462958993068,2.2767684021543984,-2.698653500897666,68.75,0.8461538461538461
cracks,13,composite,30,16,13,28604,0.06720857013662342,0.08662852270826434,2.7972766728838137,0.02011676876254699,0.11430037151069984,-0.963698786161423,-0.993698786161423,0.8999999999999998,"[0.9542, 1.2742, 1.2627, 1.4096, 1.9179]","[-2.7452, -0.5463, -0.2682, -0.0465, 0.1995, 5.0452]",0.5216019951588058,0.4783980048411942,922,0.48156182212581344,-0.36160520607375274,-0.22242595282705743,2.4568546637744033,-2.9789587852494575,52.448937616571506,0.6923076923076923
brent_wti,13,composite,20,16,13,29984,0.01829107091947096,0.13882245682986083,0.4750628651107047,-0.05717367624364139,0.09375581808258332,-0.0469742714202474,-0.0669742714202474,0.7999999999999999,"[0.0211, 0.0162, 0.0222, 0.0799, 0.068]","[-1.9416, -0.4065, -0.0717, 0.1504, 0.5327, 2.2427]",0.46495934959349594,0.5350406504065041,1248,0.48878205128205127,-0.03595352564102565,-0.11522923787094692,0.5753205128205128,-0.5596233974358975,7.917714418511746,0.6153846153846154
brent_wti,13,composite,25,16,13,28353,-0.003694517064074124,0.12218153409798713,-0.10902441855013001,-0.07011315558454205,0.06272412145639379,-0.02987098247452101,-0.049870982474521014,0.6,"[0.0586, 0.0337, 0.0309, 0.0751, 0.0885]","[-1.9565, -0.396, -0.0673, 0.1446, 0.5058, 2.069]",0.47184248989768723,0.5281575101023128,1000,0.515,0.06539000000000002,0.14909335877857433,0.7493900000000001,-0.6000899999999999,1.1356710265638543,0.38461538461538464
