family,horizon,n_vintages,n_obs_test,confirmed,range_feature,trend_feature,range_trades,trend_trades,n_trades,win_rate,avg_pnl,sharpe,mfe_mean,mae_mean,n_trades_raw,win_rate_raw,sharpe_raw,avg_pnl_raw
outrights,20,23,22655,True,macd_div,slope_20,12,13,823,0.43377885783718106,-0.3310692588092342,-0.5549781594902563,3.042818955042527,-3.486452004860267,1601,0.4915677701436602,-0.18725099367220152,0.005509056839475785
outrights,25,22,23023,True,rsi_div_14,slope_20,12,14,789,0.46514575411913817,-0.24636248415716117,-0.4722901800182182,3.5179467680608365,-4.028035487959442,1425,0.503859649122807,-0.025341744688106224,0.21931228070175454
outrights,30,22,22601,True,rsi_div_14,macd_hist,12,15,744,0.4489247311827957,-0.5644086021505375,-0.4729041840594321,3.7337768817204307,-4.553924731182796,1300,0.49,-0.08432471100934263,0.16330000000000028
calendars,20,21,100018,True,macd_div,slope_20,13,11,3448,0.5356728538283063,0.10053944315545246,0.3998595700539028,0.7538167053364269,-0.7356728538283064,7012,0.5152595550484883,0.5877357907929839,0.0964646320593269
calendars,25,21,90803,True,macd_div,slope_20,13,10,2793,0.5245255997135696,0.10613319011815255,0.4210647191567656,0.8360221983530255,-0.7982921589688508,5742,0.4954719609892024,0.5358336703702296,0.11384360849878096
calendars,30,20,93149,True,rsi_div_14,slope_20,12,11,2554,0.52858261550509,0.19021926389976512,0.7565654896755608,1.0330109631949884,-0.7697063429913861,5209,0.48627375695910924,0.2622711267037483,0.060996352466884264
cracks,20,16,6569,True,z_50,,11,0,361,0.5235457063711911,-0.2437950138504155,-0.26872928208878405,2.281578947368421,-2.4411911357340728,488,0.5348360655737705,-0.27674428649204796,-0.2185860655737705
cracks,25,15,5969,True,z_50,,11,0,271,0.4870848708487085,-0.6287084870848708,-0.5223140482091515,2.6173431734317343,-3.1475645756457564,385,0.5168831168831168,-0.4749088160275647,-0.4671688311688311
cracks,30,15,5755,True,level_z,,11,0,248,0.5201612903225806,-0.538467741935484,-0.4099341367272941,2.9325403225806452,-3.43,321,0.5327102803738317,-0.35478738057923703,-0.3840809968847352
brent_wti,20,16,12368,True,level_z,macd_hist,12,11,300,0.5566666666666666,0.09226666666666665,0.21724633213538605,0.8842,-0.7399666666666666,480,0.5604166666666667,0.467822580571482,0.0898541666666667
brent_wti,25,16,11855,True,level_z,macd_hist,12,11,295,0.5457627118644067,0.11769491525423731,0.1864794166877155,0.865186440677966,-0.7758305084745762,449,0.5590200445434298,0.2740272836557807,0.09692650334075727
brent_wti,30,16,10636,True,level_z,macd_hist,12,10,277,0.5487364620938628,0.2145848375451263,0.3597939670622948,0.9913718411552347,-0.843971119133574,399,0.5513784461152882,0.2555072083045566,0.10152882205513782
quarterly,20,19,20705,True,rsi_div_14,macd_hist,14,15,1138,0.5140597539543058,0.05691564147627416,0.28803886810357027,0.6622319859402461,-0.6583040421792622,1794,0.512263099219621,0.29937967407347355,0.05541248606466001
quarterly,25,19,14539,True,rsi_div_14,macd_hist,14,10,768,0.5260416666666666,0.08765625000000028,0.2865791622528089,0.7597526041666672,-0.7357552083333333,1212,0.49174917491749176,0.15129999682105771,0.04456270627062731
quarterly,30,19,15092,True,rsi_div_14,macd_hist,14,10,713,0.5273492286115007,0.11490883590462873,0.19177707983759695,0.8616409537166902,-0.7525525946704068,1097,0.5095715587967183,0.21884083788019726,0.06750227894257053
semestral,20,19,16465,True,rsi_div_14,macd_hist,14,15,866,0.5369515011547344,0.21357967667436498,0.585109550080351,1.2480138568129326,-1.0556928406466515,1428,0.5315126050420168,0.49949681831547643,0.13453081232492986
semestral,25,19,14020,True,rsi_div_14,macd_hist,14,12,722,0.5277008310249307,0.20752077562326823,0.4444822637006054,1.369238227146814,-1.0999168975069256,1104,0.5135869565217391,0.1919525915399068,0.0809057971014489
semestral,30,19,14421,True,rsi_div_14,macd_hist,13,13,641,0.5382215288611545,0.2578237129485174,0.5040096838465097,1.5021216848673942,-1.1279719188767556,1008,0.5208333333333334,0.20545198149996466,0.06981150793650752
yearly,20,21,8912,True,rsi_div_14,slope_20,12,15,451,0.4878048780487805,0.0886917960088694,0.339841497903921,1.714767184035477,-1.6045232815964525,705,0.5035460992907801,0.17211348368835122,0.04120567375886525
yearly,25,21,7782,True,rsi_div_14,macd_hist,12,14,356,0.49157303370786515,-0.18199438202247112,-0.1252362537282055,1.6668539325842702,-1.9919101123595508,564,0.5372340425531915,0.18733722534460043,0.046950354609929364
yearly,30,21,7614,True,rsi_div_14,macd_hist,12,14,339,0.5221238938053098,-0.1637758112094388,-0.1396785746339277,1.9198820058997055,-2.0015044247787612,500,0.544,0.1357996518578602,0.04910000000000079
flies,20,20,3260,True,rsi_div_14,macd_hist,14,14,148,0.581081081081081,0.10337837837837918,0.23117839969055978,1.0748648648648667,-1.203918918918918,273,0.48717948717948717,0.07889765340763442,0.022161172161173328
flies,25,20,3113,True,z_50,macd_hist,14,12,150,0.41333333333333333,-0.024666666666665914,0.009132515587824202,1.2501333333333349,-1.3669333333333324,241,0.45228215767634855,0.0032015588583300092,-0.014979253112033266
flies,30,20,2591,True,z_50,macd_hist,14,8,114,0.5175438596491229,-0.056578947368419424,0.03024732733567507,1.4422807017543882,-1.3937719298245599,189,0.5238095238095238,-0.04397604639464069,-0.06804232804232781
