family,primary,confirmator,p_bucket,c_bucket,mean_fwd,n
outrights,level_z,z_20,1,1,-1.420619372442019,3665
outrights,level_z,z_20,1,2,-0.02971713147410353,2510
outrights,level_z,z_20,1,3,-0.15762665198237877,1816
outrights,level_z,z_20,2,1,-0.06312844759653269,2538
outrights,level_z,z_20,2,2,0.49055115137787836,2649
outrights,level_z,z_20,2,3,0.2112981455064194,2804
outrights,level_z,z_20,3,1,-0.38943715615742697,2363
outrights,level_z,z_20,3,2,1.8672252747252749,2548
outrights,level_z,z_20,3,3,1.3434675324675323,3080
outrights,level_z,z_20,4,1,0.24612546125461263,2710
outrights,level_z,z_20,4,2,0.9309580838323356,2839
outrights,level_z,z_20,4,3,0.7318755118755118,2442
outrights,level_z,z_20,5,1,-0.8775036710719529,2043
outrights,level_z,z_20,5,2,-0.6479834054834054,2772
outrights,level_z,z_20,5,3,-0.3380163727959697,3176
calendars,level_z,z_20,1,1,-0.06062438758845945,18370
calendars,level_z,z_20,1,2,0.033505030785403234,13318
calendars,level_z,z_20,1,3,-0.02499596448748992,8673
calendars,level_z,z_20,2,1,0.1089052784759889,15118
calendars,level_z,z_20,2,2,0.21155646333864153,14443
calendars,level_z,z_20,2,3,0.24141296296296294,10800
calendars,level_z,z_20,3,1,-0.07491446558094977,14614
calendars,level_z,z_20,3,2,0.1728012723198149,13833
calendars,level_z,z_20,3,3,0.4618364948799732,11914
calendars,level_z,z_20,4,1,-0.03571355889086747,11793
calendars,level_z,z_20,4,2,0.14126338650490528,13353
calendars,level_z,z_20,4,3,0.26425238251725275,15215
calendars,level_z,z_20,5,1,-0.2540642799023597,7374
calendars,level_z,z_20,5,2,-0.22241051862673486,12321
calendars,level_z,z_20,5,3,-0.13511855221136165,20666
cracks,level_z,z_20,1,1,0.6069079627714581,1934
cracks,level_z,z_20,1,2,0.910336247478144,1487
cracks,level_z,z_20,1,3,0.7478605089538171,1061
cracks,level_z,z_20,2,1,0.08227932285368801,1654
cracks,level_z,z_20,2,2,0.38537916371367825,1411
cracks,level_z,z_20,2,3,0.4318066337332393,1417
cracks,level_z,z_20,3,1,0.2581904161412358,1586
cracks,level_z,z_20,3,2,0.5370214105793452,1588
cracks,level_z,z_20,3,3,0.12608562691131503,1308
cracks,level_z,z_20,4,1,0.9894653614457831,1328
cracks,level_z,z_20,4,2,1.8162751460090851,1541
cracks,level_z,z_20,4,3,1.1353068815871048,1613
