family,feature,cluster,representative,max_abs_corr,ic_incremental,verdict
outrights,keltner_dist_20,0,rsi_2,0.9675823348991612,0.04470929441478237,aporta
outrights,pctb_10_1_5,0,rsi_2,0.9999999999993147,0.0071364422214487775,redundante
outrights,pctb_20_2,0,rsi_2,0.999999999999743,0.03878139362921538,aporta
outrights,rsi_14,0,rsi_2,0.9675823348991612,0.03926289782818048,aporta
outrights,rsi_2,0,rsi_2,0.8774623950175041,,representante
outrights,z_10,0,rsi_2,0.9999999999993147,0.0071364422214487775,redundante
outrights,z_20,0,rsi_2,0.999999999999743,0.03878139362921538,aporta
outrights,z_50,0,rsi_2,0.9481943828271473,0.08219817689689536,aporta
outrights,rsi_div_14,1,rsi_div_14,,,representante
outrights,macd_div,2,macd_div,,,representante
outrights,mom_decel_10,3,mom_decel_10,,,representante
outrights,er_drop_20,4,er_drop_20,,,representante
outrights,vol_ratio,5,vol_ratio,,,representante
outrights,er_20,6,er_20,,,representante
outrights,slope_20,7,slope_20,,,representante
outrights,macd_hist,8,macd_hist,,,representante
outrights,level_pct,9,level_z,0.9609023486009588,-0.06305259798649435,aporta
outrights,level_z,9,level_z,0.9609023486009588,,representante
calendars,keltner_dist_20,0,rsi_14,0.9609013369922297,0.03940914700731454,aporta
calendars,pctb_10_1_5,0,rsi_14,0.9999999989196648,0.030939036208006563,aporta
calendars,pctb_20_2,0,rsi_14,0.9999999999482618,0.03245783505153467,aporta
calendars,rsi_14,0,rsi_14,0.944718483325604,,representante
calendars,rsi_2,0,rsi_14,0.8694964584943503,0.019630172592892157,redundante
calendars,z_10,0,rsi_14,0.9999999989196648,0.030939036207082174,aporta
calendars,z_20,0,rsi_14,0.9999999999482618,0.03245783506343588,aporta
calendars,z_50,0,rsi_14,0.944718483325604,-0.0077663045936148135,redundante
calendars,rsi_div_14,1,rsi_div_14,,,representante
calendars,macd_div,2,macd_div,,,representante
calendars,mom_decel_10,3,mom_decel_10,,,representante
calendars,er_drop_20,4,er_drop_20,,,representante
calendars,vol_ratio,5,vol_ratio,,,representante
calendars,er_20,6,er_20,,,representante
calendars,slope_20,7,slope_20,,,representante
calendars,macd_hist,8,macd_hist,,,representante
calendars,level_pct,9,level_z,0.9510807350623055,0.020302675726710736,redundante
calendars,level_z,9,level_z,0.9510807350623055,,representante
cracks,keltner_dist_20,0,rsi_14,0.9563144208313427,0.004452414436633182,redundante
cracks,pctb_10_1_5,0,rsi_14,1.0,0.027170052280159673,redundante
cracks,pctb_20_2,0,rsi_14,1.0,0.03044286326551622,aporta
cracks,rsi_14,0,rsi_14,0.9353450846176379,,representante
cracks,rsi_2,0,rsi_14,0.8695448792147285,0.02096474520415418,redundante
cracks,z_10,0,rsi_14,1.0,0.027170052280159673,redundante
cracks,z_20,0,rsi_14,1.0,0.03044286326551622,aporta
