family,from,to,prob,n
outrights,range,range,0.7333801371712481,18517
outrights,range,dead,0.2497164767510936,18517
outrights,range,trend,0.01690338607765837,18517
outrights,dead,range,0.2487430394117965,18497
outrights,dead,dead,0.5770665513326485,18497
outrights,dead,trend,0.17419040925555496,18497
outrights,trend,range,0.016710832296793033,18491
outrights,trend,dead,0.17338164512465523,18491
outrights,trend,trend,0.8099075225785517,18491
calendars,range,range,0.7295794711486145,101087
calendars,range,dead,0.252030429234224,101087
calendars,range,trend,0.018390099617161454,101087
calendars,dead,range,0.25370133792843913,100977
calendars,dead,dead,0.5748140665696149,100977
calendars,dead,trend,0.17148459550194597,100977
calendars,trend,range,0.016993995124754753,100918
calendars,trend,dead,0.1738540200955231,100918
calendars,trend,trend,0.8091519847797222,100918
cracks,range,range,0.7235500728176133,11673
cracks,range,dead,0.25683200548273794,11673
cracks,range,trend,0.019617921699648763,11673
cracks,dead,range,0.2630496271535099,11667
cracks,dead,dead,0.5589268878032057,11667
cracks,dead,trend,0.17802348504328447,11667
cracks,trend,range,0.013628182051941374,11667
cracks,trend,dead,0.18530899117168081,11667
cracks,trend,trend,0.8010628267763779,11667
brent_wti,range,range,0.7396573719701112,10974
brent_wti,range,dead,0.24630945872061236,10974
brent_wti,range,trend,0.014033169309276472,10974
brent_wti,dead,range,0.24365064863877214,10946
brent_wti,dead,dead,0.5813082404531336,10946
brent_wti,dead,trend,0.1750411109080943,10946
brent_wti,trend,range,0.016061325059317393,10958
brent_wti,trend,dead,0.17256798685891586,10958
brent_wti,trend,trend,0.8113706880817667,10958
quarterly,range,range,0.5495991983967936,15968
quarterly,range,dead,0.3592810621242485,15968
quarterly,range,trend,0.09111973947895792,15968
quarterly,dead,range,0.36040163162849076,15935
quarterly,dead,dead,0.4284907436460621,15935
quarterly,dead,trend,0.21110762472544714,15935
quarterly,trend,range,0.08701126991122583,15883
quarterly,trend,dead,0.2115469369766417,15883
quarterly,trend,trend,0.7014417931121325,15883
semestral,range,range,0.6005632989095111,13847
semestral,range,dead,0.3398570087383549,13847
semestral,range,trend,0.059579692352134034,13847
semestral,dead,range,0.34144931724586375,13841
semestral,dead,dead,0.4577703923126942,13841
semestral,dead,trend,0.2007802904414421,13841
semestral,trend,range,0.05576100355304184,13791
semestral,trend,dead,0.20136320788920312,13791
semestral,trend,trend,0.742875788557755,13791
yearly,range,range,0.6218742696891797,8558
yearly,range,dead,0.33080158915634494,8558
yearly,range,trend,0.04732414115447534,8558
yearly,dead,range,0.32436542285647446,8549
yearly,dead,dead,0.47023043630834016,8549
yearly,dead,trend,0.2054041408351854,8549
yearly,trend,range,0.051606849636406285,8526
yearly,trend,dead,0.19927281257330517,8526
yearly,trend,trend,0.7491203377902885,8526
flies,range,range,0.5420054200542005,2583
flies,range,dead,0.37282229965156793,2583
flies,range,trend,0.08517228029423152,2583
flies,dead,range,0.37306501547987614,2584
flies,dead,dead,0.41099071207430343,2584
flies,dead,trend,0.21594427244582043,2584
flies,trend,range,0.0811335403726708,2576
flies,trend,dead,0.21622670807453417,2576
flies,trend,trend,0.702639751552795,2576
