family,feature,dimension,group,ic,n
outrights,level_z,era,<2020,0.02260142606002635,21450
outrights,level_z,era,≥2020,-0.16120378214586595,21287
outrights,level_z,vol,vol alta,-0.13130339187890142,10861
outrights,level_z,vol,vol baja,-0.10865618977085449,15162
outrights,level_z,vol,vol media,0.12598473684099834,13785
outrights,level_z,fase,lejana,-0.022750412823603298,13925
outrights,level_z,fase,media,-0.027619479486065624,16380
outrights,level_z,fase,próxima,-0.021460088602479693,12432
outrights,level_z,mes,1,-0.1612920696499155,3593
outrights,level_z,mes,10,-0.1454806250579008,3677
outrights,level_z,mes,11,-0.030977090830967276,3530
outrights,level_z,mes,12,0.2928342506759416,3555
outrights,level_z,mes,2,0.2879396696900656,3283
outrights,level_z,mes,3,-0.00594392757218041,3642
outrights,level_z,mes,4,-0.1419093786561466,3432
outrights,level_z,mes,5,0.003931320102888556,3702
outrights,level_z,mes,6,0.06632006282836095,3561
outrights,level_z,mes,7,0.0587078054112625,3639
outrights,level_z,mes,8,-0.13740553244811274,3644
outrights,level_z,mes,9,-0.2133965275048679,3479
calendars,level_z,era,<2020,0.03931639826159266,91365
calendars,level_z,era,≥2020,-0.12717919228565172,138747
calendars,level_z,vol,vol alta,-0.15249326307141917,55999
calendars,level_z,vol,vol baja,0.03616681601795282,75071
calendars,level_z,vol,vol media,0.012207360223689467,69265
calendars,level_z,fase,lejana,-0.07759455310531152,85118
calendars,level_z,fase,media,-0.026582266926400325,95682
calendars,level_z,fase,próxima,-0.07268463466970898,49312
calendars,level_z,mes,1,-0.010692656477578166,20228
calendars,level_z,mes,10,-0.18412460647898196,19847
calendars,level_z,mes,11,-0.13419306815345042,19589
calendars,level_z,mes,12,0.2959745046925913,19926
calendars,level_z,mes,2,0.0333681461941445,18623
calendars,level_z,mes,3,-0.05407822805916461,20283
calendars,level_z,mes,4,-0.05713087159283723,18980
calendars,level_z,mes,5,-0.24026059920628445,19750
calendars,level_z,mes,6,-0.059632386756892836,18471
calendars,level_z,mes,7,-0.3861871198644178,17958
calendars,level_z,mes,8,0.23933095228509413,18260
calendars,level_z,mes,9,-0.00923254317702874,18197
cracks,level_z,era,<2020,-0.18109229827741394,10573
cracks,level_z,era,≥2020,-0.05455131912015601,15822
cracks,level_z,vol,vol alta,-0.07952518820931312,5992
cracks,level_z,vol,vol baja,-0.076196205330045,9314
cracks,level_z,vol,vol media,-0.019029223357458026,6873
cracks,level_z,fase,lejana,-0.048718013704240296,10189
cracks,level_z,fase,media,-0.03527040973190416,11493
cracks,level_z,fase,próxima,-0.06726595787323505,4713
cracks,level_z,mes,1,0.05210558742902341,2455
cracks,level_z,mes,10,-0.15542491164416966,2209
cracks,level_z,mes,11,-0.4107422691132569,2280
cracks,level_z,mes,12,0.20992550188192807,2381
cracks,level_z,mes,2,0.030680401924300882,2275
cracks,level_z,mes,3,0.11274575312658075,2546
cracks,level_z,mes,4,0.07381576448144071,2256
cracks,level_z,mes,5,-0.004356718569528182,2298
cracks,level_z,mes,6,-0.17958461564227488,2064
cracks,level_z,mes,7,-0.048255809257965125,1904
cracks,level_z,mes,8,-0.20228873021419488,1854
cracks,level_z,mes,9,-0.12952222854880197,1873
brent_wti,level_pct,era,<2020,-0.19786751435185645,6372
brent_wti,level_pct,era,≥2020,-0.10295015944903345,16489
brent_wti,level_pct,vol,vol alta,-0.18901996755021738,3599
brent_wti,level_pct,vol,vol baja,-0.19126810855810875,9246
brent_wti,level_pct,vol,vol media,-0.08461350282874845,6288
brent_wti,level_pct,fase,lejana,-0.11607821316084144,8872
brent_wti,level_pct,fase,media,-0.163022460425018,10647
brent_wti,level_pct,fase,próxima,-0.16805563919260683,3342
brent_wti,level_pct,mes,1,-0.02732443367637452,2041
brent_wti,level_pct,mes,10,0.01977426201120088,1873
