family,kind,feature,er_bin,ic,n
outrights,reversion,macd_div,1,-0.1558505462246798,6693
outrights,reversion,macd_div,2,-0.11190935827926887,6679
outrights,reversion,macd_div,3,-0.1411249050006641,6684
outrights,reversion,macd_div,4,-0.1261816107902581,6769
outrights,reversion,macd_div,5,-0.07730543270815154,6990
outrights,continuation,slope_20,1,0.07338985581109671,10055
outrights,continuation,slope_20,2,0.06655414030205063,10054
outrights,continuation,slope_20,3,0.05459419628940489,10054
outrights,continuation,slope_20,4,0.021614461727136467,10054
outrights,continuation,slope_20,5,0.04309747505502426,10054
calendars,reversion,macd_div,1,-0.05103515406721724,25904
calendars,reversion,macd_div,2,-0.07359443150405227,26465
calendars,reversion,macd_div,3,-0.09494765205265514,26208
calendars,reversion,macd_div,4,-0.07003281986074904,26061
calendars,reversion,macd_div,5,-0.05896055921054188,26217
calendars,continuation,macd_hist,1,0.05732022803677672,45258
calendars,continuation,macd_hist,2,0.05451885331273437,45561
calendars,continuation,macd_hist,3,0.06577213371126647,45431
calendars,continuation,macd_hist,4,0.011666120728954447,44980
calendars,continuation,macd_hist,5,-0.02165091923048234,44367
cracks,reversion,level_pct,1,-0.04333617761928965,4351
cracks,reversion,level_pct,2,-0.07578950062051737,4441
cracks,reversion,level_pct,3,-0.03327047926803415,4419
cracks,reversion,level_pct,4,-0.044980299998898805,4445
cracks,reversion,level_pct,5,-0.04556227285098551,4523
cracks,continuation,macd_hist,1,-0.017287826125008177,4584
cracks,continuation,macd_hist,2,0.03794225411560746,4558
cracks,continuation,macd_hist,3,0.05539651321603098,4514
cracks,continuation,macd_hist,4,0.006524186466641603,4543
cracks,continuation,macd_hist,5,-0.03706413273327445,4307
brent_wti,reversion,level_pct,1,-0.17704160594831392,3867
brent_wti,reversion,level_pct,2,-0.16878931500038574,3812
brent_wti,reversion,level_pct,3,-0.1173558135179902,3871
brent_wti,reversion,level_pct,4,-0.14776098863204218,3837
brent_wti,reversion,level_pct,5,-0.11785595041633244,3746
brent_wti,continuation,macd_hist,1,0.0716167243088767,4197
brent_wti,continuation,macd_hist,2,0.0949631970908892,4168
brent_wti,continuation,macd_hist,3,0.08805192268684299,4170
brent_wti,continuation,macd_hist,4,0.04016394779372674,4180
brent_wti,continuation,macd_hist,5,0.10915417562554337,4105
quarterly,reversion,rsi_div_14,1,-0.09877409260309723,4754
quarterly,reversion,rsi_div_14,2,-0.10225795476498069,5076
quarterly,reversion,rsi_div_14,3,-0.0696692419439054,5626
quarterly,reversion,rsi_div_14,4,-0.05447369501223623,6327
quarterly,reversion,rsi_div_14,5,0.02088928346796499,7402
quarterly,continuation,macd_hist,1,0.06978610226058098,7687
quarterly,continuation,macd_hist,2,0.032336399152368564,7830
quarterly,continuation,macd_hist,3,0.06673293859075438,7965
quarterly,continuation,macd_hist,4,0.04129843812558656,8187
quarterly,continuation,macd_hist,5,-0.01464821267378749,8413
semestral,reversion,rsi_div_14,1,-0.1246652733367874,3797
semestral,reversion,rsi_div_14,2,-0.11473282217504858,3940
semestral,reversion,rsi_div_14,3,-0.12716324697921577,4468
semestral,reversion,rsi_div_14,4,-0.07851164938977331,4995
semestral,reversion,rsi_div_14,5,0.019688084690448394,5759
semestral,continuation,macd_hist,1,0.07795377957914794,6532
semestral,continuation,macd_hist,2,0.05946032452442613,6636
semestral,continuation,macd_hist,3,0.06324256837506385,6765
semestral,continuation,macd_hist,4,0.06573904097795186,6886
semestral,continuation,macd_hist,5,-0.035002958122882025,6986
yearly,reversion,rsi_div_14,1,-0.15237164237203196,2264
yearly,reversion,rsi_div_14,2,-0.17432208629863666,2195
yearly,reversion,rsi_div_14,3,-0.18586108948419872,2257
yearly,reversion,rsi_div_14,4,-0.14864673521988958,2430
yearly,reversion,rsi_div_14,5,-0.010855191749136349,2645
yearly,continuation,macd_hist,1,0.11405080181191789,3719
yearly,continuation,macd_hist,2,0.06963612394177816,3689
yearly,continuation,macd_hist,3,0.03870049961100248,3744
yearly,continuation,macd_hist,4,0.029029356626807265,3815
yearly,continuation,macd_hist,5,-0.04276407531951922,3716
flies,reversion,level_pct,1,0.032063460188742295,991
flies,reversion,level_pct,2,-0.0723094952602165,1037
flies,reversion,level_pct,3,-0.04803350139845244,1024
flies,reversion,level_pct,4,-0.055704977128338676,1125
flies,reversion,level_pct,5,-0.14207687151352355,1182
flies,continuation,macd_hist,1,0.11773721204505137,1240
flies,continuation,macd_hist,2,0.01425964504157976,1243
flies,continuation,macd_hist,3,0.03573100099706828,1269
flies,continuation,macd_hist,4,0.10476286487143614,1294
flies,continuation,macd_hist,5,-0.0945515146731968,1331
