family,date,contract,feature,side,pnl,cum_pnl
calendars,2014-05-19,CLF2015-CLG2015,rsi_div_14,-1.0,-0.07000000000000005,-0.07000000000000005
calendars,2014-05-20,CLF2015-CLH2015,rsi_div_14,-1.0,0.03999999999999982,-0.030000000000000228
calendars,2014-06-18,CLG2015-CLH2015,rsi_div_14,1.0,-0.20999999999999996,-0.24000000000000019
calendars,2014-06-18,CLF2015-CLM2015,rsi_div_14,1.0,-1.5300000000000005,-1.7700000000000007
calendars,2014-06-19,CLH2015-CLJ2015,rsi_div_14,1.0,-0.26,-2.0300000000000007
calendars,2014-06-23,CLH2015-CLM2015,rsi_div_14,1.0,-0.8599999999999999,-2.8900000000000006
calendars,2014-06-23,CLF2015-CLG2015,rsi_div_14,1.0,-0.21999999999999997,-3.1100000000000003
calendars,2014-06-26,CLF2015-CLH2015,rsi_div_14,1.0,-0.6000000000000001,-3.7100000000000004
calendars,2014-07-23,CLF2015-CLG2015,rsi_div_14,-1.0,0.51,-3.2
calendars,2014-07-28,CLG2015-CLH2015,rsi_div_14,-1.0,0.47,-2.7300000000000004
calendars,2014-08-04,CLG2015-CLJ2015,rsi_div_14,-1.0,0.65,-2.0800000000000005
calendars,2014-08-07,CLF2015-CLH2015,rsi_div_14,-1.0,0.55,-1.5300000000000005
calendars,2014-08-07,CLH2015-CLJ2015,rsi_div_14,-1.0,0.26999999999999996,-1.2600000000000005
calendars,2014-08-07,CLF2015-CLJ2015,rsi_div_14,-1.0,0.73,-0.5300000000000005
calendars,2014-08-07,CLH2015-CLM2015,rsi_div_14,-1.0,0.5499999999999999,0.019999999999999463
calendars,2014-08-08,CLG2015-CLK2015,rsi_div_14,-1.0,0.77,0.7899999999999995
calendars,2014-08-08,CLF2015-CLM2015,rsi_div_14,-1.0,1.24,2.0299999999999994
calendars,2014-08-10,CLJ2015-CLK2015,rsi_div_14,-1.0,0.27,2.2999999999999994
calendars,2014-09-03,CLM2015-CLZ2015,rsi_div_14,1.0,-0.8200000000000001,1.4799999999999993
calendars,2014-09-03,CLH2015-CLZ2015,rsi_div_14,-1.0,1.23,2.709999999999999
calendars,2014-09-11,CLG2015-CLH2015,rsi_div_14,1.0,0.12999999999999998,2.839999999999999
calendars,2014-09-11,CLG2015-CLM2015,rsi_div_14,-1.0,-0.15000000000000002,2.689999999999999
calendars,2014-09-11,CLF2015-CLG2015,rsi_div_14,1.0,0.19999999999999996,2.889999999999999
calendars,2014-09-15,CLF2015-CLJ2015,rsi_div_14,1.0,0.6799999999999999,3.5699999999999985
calendars,2014-09-15,CLF2015-CLH2015,rsi_div_14,1.0,0.43,3.9999999999999987
calendars,2014-09-16,CLJ2015-CLK2015,rsi_div_14,1.0,0.03999999999999999,4.039999999999998
