family,date,contract,feature,side,pnl,cum_pnl
cracks,2015-11-01,CL:C1 RB-CL F2016,z_50,-1.0,-3.6600000000000006,-3.6600000000000006
cracks,2015-11-04,CL:C1 RB-CL M2016,z_50,-1.0,-3.789999999999998,-7.449999999999998
cracks,2015-11-12,CL:C1 HO-CL F2016,z_50,1.0,-4.660000000000001,-12.11
cracks,2015-12-06,CL:C1 RB-CL G2016,z_50,-1.0,-2.4199999999999986,-14.529999999999998
cracks,2015-12-07,CL:C1 RB-CL H2016,z_50,-1.0,-1.7,-16.229999999999997
cracks,2015-12-22,CL:C1 RB-CL M2016,z_50,-1.0,3.5899999999999976,-12.639999999999999
cracks,2015-12-30,CL:C1 RB-CL J2016,z_50,-1.0,4.919999999999999,-7.72
cracks,2016-01-07,CL:C1 RB-CL K2016,z_50,-1.0,2.050000000000002,-5.669999999999998
cracks,2016-01-12,CL:C1 RB-CL N2016,z_50,-1.0,3.15,-2.5199999999999982
cracks,2016-01-26,CL:C1 HO-CL J2016,z_50,1.0,2.5300000000000007,0.010000000000002451
cracks,2016-01-28,CL:C1 HO-CL K2016,z_50,1.0,1.9300000000000008,1.9400000000000033
cracks,2016-04-05,CL:C1 HO-CL U2016,z_50,1.0,2.769999999999999,4.710000000000003
cracks,2016-05-04,CL:C1 RB-CL N2016,z_50,1.0,0.7599999999999991,5.4700000000000015
cracks,2016-05-05,CL:C1 RB-CL Q2016,z_50,1.0,-1.1900000000000002,4.280000000000001
cracks,2016-05-05,CL:C1 RB-CL Z2016,z_50,1.0,0.5000000000000002,4.780000000000001
cracks,2016-05-09,CL:C1 HO-CL Z2016,z_50,1.0,1.4899999999999995,6.2700000000000005
cracks,2016-06-06,CL:C1 RB-CL U2016,z_50,1.0,-3.640000000000001,2.6299999999999994
cracks,2016-06-06,CL:C1 RB-CL V2016,z_50,1.0,-1.4400000000000002,1.1899999999999993
cracks,2016-06-13,CL:C1 RB-CL X2016,z_50,1.0,-0.7099999999999997,0.47999999999999954
cracks,2016-06-30,CL:C1 RB-CL Z2016,z_50,1.0,1.1199999999999994,1.599999999999999
cracks,2016-07-13,CL:C1 RB-CL V2016,z_50,1.0,0.30999999999999983,1.9099999999999988
cracks,2016-07-19,CL:C1 RB-CL F2017,z_50,1.0,1.3700000000000003,3.2799999999999994
cracks,2016-07-28,CL:C1 RB-CL X2016,z_50,1.0,1.4199999999999993,4.699999999999998
cracks,2016-08-10,CL:C1 HO-CL Z2016,z_50,1.0,0.8299999999999994,5.529999999999998
cracks,2016-08-12,CL:C1 RB-CL G2017,z_50,1.0,2.2499999999999996,7.779999999999998
cracks,2016-09-20,CL:C1 RB-CL F2017,z_50,-1.0,-1.7899999999999998,5.9899999999999975
cracks,2016-09-20,CL:C1 RB-CL Z2016,z_50,-1.0,-2.36,3.6299999999999977
cracks,2016-09-20,CL:C1 RB-CL X2016,z_50,-1.0,-0.2899999999999998,3.339999999999998
cracks,2016-09-28,CL:C1 HO-CL F2017,z_50,-1.0,-1.3899999999999995,1.9499999999999986
cracks,2016-10-14,CL:C1 HO-CL M2017,z_50,-1.0,0.47999999999999976,2.4299999999999984
cracks,2016-11-01,CL:C1 HO-CL F2017,z_50,-1.0,-1.5800000000000007,0.8499999999999976
cracks,2016-11-07,CL:C1 RB-CL M2017,z_50,-1.0,-0.8299999999999972,0.020000000000000462
cracks,2016-11-08,CL:C1 RB-CL J2017,z_50,-1.0,-2.3600000000000017,-2.340000000000001
cracks,2016-11-22,CL:C1 HO-CL G2017,z_50,-1.0,-1.039999999999998,-3.379999999999999
cracks,2016-11-28,CL:C1 RB-CL G2017,z_50,-1.0,-4.659999999999999,-8.04
cracks,2016-11-29,CL:C1 HO-CL H2017,z_50,-1.0,-0.6300000000000014,-8.67
cracks,2016-11-29,CL:C1 RB-CL K2017,z_50,-1.0,-1.7999999999999996,-10.469999999999999
cracks,2016-11-30,CL:C1 RB-CL H2017,z_50,-1.0,-2.640000000000001,-13.11
cracks,2016-12-01,CL:C1 HO-CL M2017,z_50,-1.0,1.0200000000000007,-12.089999999999998
cracks,2016-12-21,CL:C1 HO-CL J2017,z_50,-1.0,1.3199999999999996,-10.769999999999998
cracks,2017-01-17,CL:C1 RB-CL M2017,z_50,-1.0,1.47,-9.299999999999997
cracks,2017-01-23,CL:C1 RB-CL J2017,z_50,-1.0,3.15,-6.149999999999997
cracks,2017-01-26,CL:C1 HO-CL K2017,z_50,-1.0,1.22,-4.929999999999997
cracks,2017-02-08,CL:C1 RB-CL N2017,z_50,-1.0,1.7800000000000022,-3.149999999999995
