family,date,contract,feature,side,pnl,cum_pnl
flies,2012-11-27,CLM2013-CLM2014-CLM2015,rsi_div_14,-1.0,-0.5300000000000051,-0.5300000000000051
flies,2013-02-06,CLM2013-CLM2014-CLM2015,rsi_div_14,1.0,1.5999999999999903,1.0699999999999852
flies,2013-04-12,CLZ2013-CLZ2014-CLZ2015,rsi_div_14,-1.0,-0.21999999999998862,0.8499999999999965
flies,2013-05-22,CLZ2013-CLZ2014-CLZ2015,rsi_div_14,-1.0,-0.7400000000000131,0.10999999999998344
flies,2013-07-30,CLZ2013-CLZ2014-CLZ2015,rsi_div_14,1.0,1.8000000000000074,1.9099999999999908
flies,2013-09-18,CLZ2013-CLZ2014-CLZ2015,rsi_div_14,-1.0,5.710000000000004,7.619999999999996
flies,2013-10-30,CLM2014-CLM2015-CLM2016,macd_div,-1.0,-0.9000000000000097,6.719999999999986
flies,2014-01-14,CLM2014-CLM2015-CLM2016,macd_div,1.0,1.32999999999998,8.049999999999967
flies,2014-03-11,CLM2014-CLM2015-CLM2016,macd_div,-1.0,-1.0600000000000063,6.989999999999961
flies,2014-04-22,CLZ2014-CLZ2015-CLZ2016,macd_div,-1.0,-0.4999999999999898,6.489999999999972
flies,2014-05-28,CLZ2014-CLZ2015-CLZ2016,macd_div,-1.0,-0.1299999999999852,6.359999999999987
flies,2014-08-22,CLM2015-CLM2016-CLM2017,z_50,1.0,-0.9899999999999989,5.369999999999989
flies,2014-09-14,CLZ2014-CLZ2015-CLZ2016,macd_div,-1.0,-2.829999999999988,2.5400000000000005
flies,2014-10-06,CLM2015-CLM2016-CLM2017,z_50,1.0,-1.0500000000000012,1.4899999999999993
flies,2014-11-10,CLM2015-CLM2016-CLM2017,z_50,1.0,-1.5699999999999972,-0.07999999999999785
flies,2015-01-15,CLM2015-CLM2016-CLM2017,z_50,1.0,-2.559999999999992,-2.63999999999999
flies,2015-01-28,CLZ2015-CLZ2016-CLZ2017,z_50,1.0,0.5700000000000176,-2.0699999999999723
flies,2015-02-19,CLM2015-CLM2016-CLM2017,z_50,1.0,0.8000000000000074,-1.269999999999965
flies,2015-07-03,CLZ2015-CLZ2016-CLZ2017,z_50,1.0,-0.6500000000000026,-1.9199999999999675
flies,2015-08-05,CLM2016-CLM2017-CLM2018,z_50,1.0,0.3299999999999943,-1.5899999999999732
flies,2015-08-21,CLZ2015-CLZ2016-CLZ2017,z_50,1.0,0.5299999999999829,-1.0599999999999903
flies,2015-09-24,CLZ2015-CLZ2016-CLZ2017,z_50,1.0,-1.2300000000000009,-2.289999999999991
flies,2015-10-01,CLM2016-CLM2017-CLM2018,z_50,1.0,1.6799999999999957,-0.6099999999999954
flies,2015-11-13,CLM2016-CLM2017-CLM2018,z_50,1.0,-1.3100000000000063,-1.9200000000000017
flies,2016-01-12,CLM2016-CLM2017-CLM2018,z_50,1.0,-0.750000000000004,-2.6700000000000057
flies,2016-02-22,CLM2016-CLM2017-CLM2018,z_50,1.0,-0.07000000000000427,-2.74000000000001
flies,2016-02-22,CLZ2016-CLZ2017-CLZ2018,z_50,1.0,0.509999999999994,-2.230000000000016
flies,2016-08-04,CLZ2016-CLZ2017-CLZ2018,z_50,1.0,-0.4399999999999946,-2.6700000000000106
flies,2016-09-21,CLZ2016-CLZ2017-CLZ2018,z_50,1.0,-0.01000000000000199,-2.6800000000000126
flies,2017-02-08,CLM2017-CLM2018-CLM2019,rsi_div_14,-1.0,-0.16000000000000766,-2.8400000000000203
flies,2017-11-28,CLM2018-CLM2019-CLM2020,z_50,-1.0,0.5599999999999983,-2.280000000000022
flies,2018-01-10,CLM2018-CLM2019-CLM2020,z_50,-1.0,-1.029999999999991,-3.310000000000013
flies,2018-02-16,CLM2018-CLM2019-CLM2020,z_50,-1.0,-0.47000000000000997,-3.780000000000023
