family,date,contract,feature,side,pnl,cum_pnl
outrights,2012-02-02,CLF2013,z_20,1.0,8.72000000000001,8.72000000000001
outrights,2012-03-22,CLF2013,z_20,1.0,-1.7299999999999938,6.990000000000016
outrights,2012-03-22,CLG2013,z_20,1.0,-1.0500000000000012,5.9400000000000155
outrights,2012-03-26,CLH2013,z_20,-1.0,2.0600000000000125,8.000000000000028
outrights,2012-04-30,CLF2013,z_20,-1.0,20.889999999999997,28.890000000000025
outrights,2012-05-01,CLH2013,z_20,-1.0,19.98,48.870000000000026
outrights,2012-05-01,CLG2013,z_20,-1.0,20.50000000000001,69.37000000000003
outrights,2012-05-01,CLJ2013,z_20,-1.0,20.23,89.60000000000004
outrights,2012-06-25,CLM2013,z_20,1.0,9.410000000000007,99.01000000000005
outrights,2012-06-26,CLF2013,z_20,1.0,9.00000000000001,108.01000000000006
outrights,2012-06-27,CLH2013,z_20,1.0,8.619999999999987,116.63000000000005
outrights,2012-06-29,CLG2013,z_20,-1.0,-4.419999999999991,112.21000000000006
outrights,2012-06-29,CLJ2013,z_20,-1.0,-6.349999999999998,105.86000000000007
outrights,2012-06-29,CLK2013,z_20,-1.0,-6.119999999999994,99.74000000000008
outrights,2012-08-12,CLF2013,z_20,-1.0,-3.050000000000001,96.69000000000008
outrights,2012-08-14,CLG2013,z_20,-1.0,-4.330000000000002,92.36000000000008
outrights,2012-09-06,CLH2013,z_20,1.0,-5.150000000000009,87.21000000000008
outrights,2012-09-11,CLF2013,z_20,-1.0,5.890000000000011,93.1000000000001
outrights,2012-09-12,CLM2013,z_20,-1.0,4.059999999999999,97.1600000000001
outrights,2012-09-16,CLG2013,z_20,-1.0,6.969999999999995,104.1300000000001
outrights,2012-09-18,CLU2013,z_20,1.0,-6.720000000000002,97.4100000000001
outrights,2012-09-18,CLJ2013,z_20,1.0,-6.2300000000000075,91.18000000000009
outrights,2012-09-18,CLQ2013,z_20,1.0,-7.0099999999999945,84.1700000000001
