family,date,contract,feature,side,pnl,cum_pnl
quarterly,2012-04-24,CLF2013-CLJ2013,rsi_div_14,-1.0,1.0300000000000062,1.0300000000000062
quarterly,2012-06-15,CLF2013-CLJ2013,rsi_div_14,-1.0,0.6999999999999937,1.73
quarterly,2012-07-11,CLH2013-CLM2013,rsi_div_14,1.0,0.8000000000000023,2.530000000000002
quarterly,2012-07-26,CLG2013-CLK2013,rsi_div_14,1.0,0.14000000000000568,2.670000000000008
quarterly,2012-07-30,CLF2013-CLJ2013,rsi_div_14,1.0,-0.049999999999992044,2.620000000000016
quarterly,2012-08-29,CLK2013-CLQ2013,rsi_div_14,1.0,5.115699530655604e-15,2.6200000000000214
quarterly,2012-08-30,CLG2013-CLK2013,rsi_div_14,1.0,-0.2500000000000091,2.3700000000000125
quarterly,2012-08-30,CLH2013-CLM2013,rsi_div_14,1.0,-0.529999999999996,1.8400000000000165
quarterly,2012-09-04,CLF2013-CLJ2013,rsi_div_14,1.0,0.14000000000000568,1.9800000000000222
quarterly,2012-09-05,CLJ2013-CLN2013,rsi_div_14,1.0,-1.249999999999995,0.7300000000000273
quarterly,2012-09-21,CLM2013-CLU2013,rsi_div_14,1.0,-0.8100000000000114,-0.07999999999998408
quarterly,2012-10-02,CLH2013-CLM2013,rsi_div_14,-1.0,0.6500000000000108,0.5700000000000267
quarterly,2012-10-08,CLG2013-CLK2013,rsi_div_14,-1.0,1.4599999999999846,2.0300000000000114
quarterly,2012-10-08,CLF2013-CLJ2013,rsi_div_14,-1.0,1.019999999999987,3.049999999999998
quarterly,2012-10-22,CLK2013-CLQ2013,rsi_div_14,-1.0,0.8999999999999966,3.949999999999995
quarterly,2012-11-18,CLG2013-CLK2013,rsi_div_14,-1.0,-0.04000000000000114,3.909999999999994
quarterly,2012-11-21,CLN2013-CLV2013,rsi_div_14,-1.0,-0.6900000000000068,3.2199999999999873
quarterly,2012-11-26,CLK2013-CLQ2013,rsi_div_14,-1.0,-0.1500000000000148,3.0699999999999728
quarterly,2012-11-26,CLQ2013-CLX2013,rsi_div_14,-1.0,-0.8300000000000074,2.2399999999999656
quarterly,2012-11-26,CLM2013-CLU2013,rsi_div_14,-1.0,-0.21000000000000285,2.029999999999963
quarterly,2012-12-05,CLH2013-CLM2013,rsi_div_14,1.0,0.47000000000000397,2.499999999999967
quarterly,2012-12-05,CLJ2013-CLN2013,rsi_div_14,1.0,0.5500000000000023,3.0499999999999696
quarterly,2012-12-21,CLG2013-CLK2013,rsi_div_14,1.0,0.4299999999999977,3.4799999999999676
quarterly,2012-12-27,CLU2013-CLZ2013,rsi_div_14,1.0,0.7499999999999909,4.229999999999959
quarterly,2012-12-31,CLM2013-CLU2013,rsi_div_14,1.0,0.17999999999999772,4.409999999999957
quarterly,2013-01-21,CLJ2013-CLN2013,rsi_div_14,1.0,-0.46999999999999376,3.939999999999963
quarterly,2013-01-27,CLK2013-CLQ2013,rsi_div_14,1.0,-0.4099999999999915,3.529999999999972
quarterly,2013-02-01,CLN2013-CLV2013,rsi_div_14,1.0,-0.4000000000000006,3.1299999999999715
quarterly,2013-02-04,CLQ2013-CLX2013,rsi_div_14,1.0,0.04000000000001137,3.169999999999983
quarterly,2013-02-07,CLU2013-CLZ2013,rsi_div_14,1.0,0.36000000000000454,3.529999999999988
quarterly,2013-02-19,CLV2013-CLF2014,rsi_div_14,1.0,0.20000000000000795,3.729999999999996
quarterly,2013-03-01,CLK2013-CLQ2013,rsi_div_14,-1.0,-0.2499999999999949,3.4800000000000013
quarterly,2013-03-04,CLM2013-CLU2013,rsi_div_14,-1.0,-0.2700000000000051,3.2099999999999964
quarterly,2013-03-08,CLX2013-CLG2014,rsi_div_14,-1.0,0.2699999999999869,3.4799999999999836
quarterly,2013-03-11,CLQ2013-CLX2013,rsi_div_14,-1.0,-0.29999999999999205,3.1799999999999917
quarterly,2013-03-12,CLU2013-CLZ2013,rsi_div_14,-1.0,-0.14000000000000967,3.0399999999999823
quarterly,2013-04-02,CLZ2013-CLH2014,rsi_div_14,-1.0,-0.15000000000000058,2.889999999999982
quarterly,2013-04-19,CLX2013-CLG2014,rsi_div_14,-1.0,-1.1400000000000097,1.7499999999999722
quarterly,2013-04-24,CLN2013-CLV2013,rsi_div_14,-1.0,0.11999999999999546,1.8699999999999677
quarterly,2013-04-26,CLU2013-CLZ2013,rsi_div_14,-1.0,-0.01,1.8599999999999677
quarterly,2013-04-26,CLV2013-CLF2014,rsi_div_14,-1.0,-0.3500000000000034,1.5099999999999643
quarterly,2013-05-16,CLZ2013-CLH2014,rsi_div_14,1.0,-0.1799999999999875,1.3299999999999768
quarterly,2013-05-22,CLQ2013-CLX2013,rsi_div_14,-1.0,-0.22000000000000797,1.1099999999999688
quarterly,2013-05-24,CLH2014-CLM2014,level_z,1.0,0.5300000000000062,1.639999999999975
quarterly,2013-05-24,CLF2014-CLJ2014,level_z,1.0,0.6400000000000057,2.2799999999999807
quarterly,2013-05-28,CLK2014-CLQ2014,level_z,1.0,1.3600000000000045,3.6399999999999855
quarterly,2013-05-31,CLJ2014-CLN2014,level_z,1.0,0.8499999999999994,4.489999999999985
quarterly,2013-06-04,CLX2013-CLG2014,rsi_div_14,-1.0,-1.9899999999999898,2.4999999999999956
quarterly,2013-06-06,CLU2013-CLZ2013,rsi_div_14,-1.0,-2.9300000000000015,-0.43000000000000593
quarterly,2013-07-10,CLM2014-CLU2014,level_z,1.0,0.45999999999999885,0.02999999999999292
quarterly,2013-07-10,CLK2014-CLQ2014,level_z,1.0,0.970000000000004,0.9999999999999969
quarterly,2013-07-24,CLN2014-CLV2014,level_z,1.0,1.24,2.2399999999999967
quarterly,2013-08-09,CLX2013-CLG2014,rsi_div_14,-1.0,-0.4000000000000006,1.839999999999996
quarterly,2013-08-09,CLJ2014-CLN2014,level_z,1.0,0.6099999999999903,2.4499999999999864
quarterly,2013-08-11,CLZ2013-CLH2014,rsi_div_14,-1.0,-0.700000000000012,1.7499999999999745
quarterly,2013-08-14,CLM2014-CLU2014,level_z,1.0,-0.11999999999999943,1.629999999999975
quarterly,2013-08-16,CLK2014-CLQ2014,level_z,1.0,0.09999999999999944,1.7299999999999744
quarterly,2013-08-19,CLQ2014-CLX2014,level_z,1.0,0.00999999999999602,1.7399999999999705
quarterly,2013-08-28,CLN2014-CLV2014,level_z,1.0,0.5599999999999932,2.2999999999999634
quarterly,2013-09-12,CLJ2014-CLN2014,level_z,1.0,-1.000000000000009,1.2999999999999543
quarterly,2013-09-13,CLU2014-CLZ2014,level_z,1.0,-0.11999999999999943,1.1799999999999549
quarterly,2013-09-17,CLM2014-CLU2014,level_z,1.0,-0.7199999999999938,0.4599999999999611
quarterly,2013-09-18,CLX2013-CLG2014,rsi_div_14,-1.0,4.020000000000001,4.479999999999962
quarterly,2013-09-19,CLK2014-CLQ2014,level_z,1.0,-0.44000000000000683,4.039999999999956
quarterly,2013-09-23,CLQ2014-CLX2014,level_z,1.0,0.36000000000001875,4.399999999999975
quarterly,2013-10-03,CLN2014-CLV2014,level_z,1.0,-0.3400000000000125,4.059999999999962
quarterly,2013-10-18,CLU2014-CLZ2014,level_z,1.0,0.1699999999999926,4.229999999999955
quarterly,2013-10-24,CLM2014-CLU2014,level_z,1.0,-0.5600000000000114,3.669999999999944
quarterly,2013-10-28,CLQ2014-CLX2014,level_z,1.0,-0.1699999999999966,3.4999999999999476
quarterly,2013-11-06,CLN2014-CLV2014,level_z,1.0,0.4199999999999926,3.9199999999999404
quarterly,2013-11-13,CLV2014-CLF2015,level_z,1.0,0.5200000000000011,4.439999999999942
quarterly,2013-11-20,CLX2014-CLG2015,level_z,1.0,0.9299999999999977,5.36999999999994
quarterly,2013-11-22,CLU2014-CLZ2014,level_z,1.0,0.10000000000001365,5.469999999999954
quarterly,2013-11-29,CLQ2014-CLX2014,level_z,1.0,0.5500000000000165,6.01999999999997
