family,date,contract,feature,side,pnl,cum_pnl
semestral,2012-04-25,CLF2013-CLN2013,rsi_div_14,-1.0,1.3350000000000086,1.3350000000000086
semestral,2012-05-30,CLF2013-CLN2013,rsi_div_14,-1.0,0.0049999999999960215,1.3400000000000047
semestral,2012-06-20,CLG2013-CLQ2013,rsi_div_14,-1.0,-1.015,0.32500000000000484
semestral,2012-06-28,CLH2013-CLU2013,rsi_div_14,-1.0,-0.38500000000000456,-0.05999999999999972
semestral,2012-07-03,CLF2013-CLN2013,rsi_div_14,-1.0,0.4250000000000119,0.3650000000000122
semestral,2012-07-23,CLJ2013-CLV2013,rsi_div_14,-1.0,-1.9450000000000067,-1.5799999999999945
semestral,2012-08-02,CLG2013-CLQ2013,rsi_div_14,1.0,1.6049999999999904,0.024999999999995914
semestral,2012-08-13,CLF2013-CLN2013,rsi_div_14,1.0,1.1149999999999956,1.1399999999999915
semestral,2012-08-23,CLK2013-CLX2013,rsi_div_14,1.0,-1.304999999999992,-0.16500000000000048
semestral,2012-08-29,CLH2013-CLU2013,rsi_div_14,1.0,-1.2250000000000079,-1.3900000000000083
semestral,2012-09-04,CLJ2013-CLV2013,rsi_div_14,1.0,-0.534999999999996,-1.9250000000000043
semestral,2012-09-06,CLG2013-CLQ2013,rsi_div_14,1.0,-0.9650000000000029,-2.8900000000000072
semestral,2012-10-04,CLH2013-CLU2013,rsi_div_14,1.0,-1.4749999999999936,-4.365000000000001
semestral,2012-10-23,CLN2013-CLF2014,rsi_div_14,-1.0,0.3050000000000074,-4.059999999999993
semestral,2012-11-20,CLJ2013-CLV2013,rsi_div_14,-1.0,-0.0049999999999948835,-4.064999999999988
semestral,2012-11-26,CLH2013-CLU2013,rsi_div_14,-1.0,-0.4250000000000108,-4.489999999999998
semestral,2012-11-26,CLK2013-CLX2013,rsi_div_14,-1.0,-0.9750000000000222,-5.46500000000002
semestral,2012-11-26,CLG2013-CLQ2013,rsi_div_14,-1.0,-0.4250000000000108,-5.890000000000031
semestral,2012-11-26,CLQ2013-CLG2014,rsi_div_14,-1.0,-0.9650000000000029,-6.855000000000033
semestral,2012-12-14,CLM2013-CLZ2013,rsi_div_14,1.0,1.6749999999999978,-5.180000000000035
semestral,2012-12-21,CLU2013-CLH2014,rsi_div_14,1.0,2.3550000000000044,-2.825000000000031
semestral,2013-01-31,CLJ2013-CLV2013,rsi_div_14,1.0,-0.5250000000000193,-3.3500000000000503
semestral,2013-02-01,CLK2013-CLX2013,rsi_div_14,1.0,-0.45499999999999774,-3.805000000000048
semestral,2013-02-04,CLM2013-CLZ2013,rsi_div_14,1.0,-0.23499999999999888,-4.040000000000047
semestral,2013-02-04,CLN2013-CLF2014,rsi_div_14,1.0,-0.23499999999998467,-4.275000000000031
semestral,2013-02-06,CLQ2013-CLG2014,rsi_div_14,1.0,0.5149999999999869,-3.7600000000000446
semestral,2013-02-15,CLV2013-CLJ2014,rsi_div_14,1.0,1.1349999999999916,-2.6250000000000533
semestral,2013-02-15,CLU2013-CLH2014,rsi_div_14,1.0,0.28499999999999714,-2.3400000000000563
semestral,2013-03-06,CLX2013-CLK2014,rsi_div_14,-1.0,-0.4350000000000017,-2.775000000000058
semestral,2013-03-07,CLM2013-CLZ2013,rsi_div_14,-1.0,-0.4050000000000006,-3.180000000000059
semestral,2013-03-12,CLN2013-CLF2014,rsi_div_14,-1.0,0.3949999999999966,-2.7850000000000623
semestral,2013-03-12,CLQ2013-CLG2014,rsi_div_14,-1.0,0.4050000000000017,-2.3800000000000607
semestral,2013-03-21,CLU2013-CLH2014,rsi_div_14,-1.0,-0.20499999999999774,-2.5850000000000586
semestral,2013-04-18,CLX2013-CLK2014,rsi_div_14,-1.0,-1.5950000000000124,-4.180000000000071
semestral,2013-04-18,CLZ2013-CLM2014,rsi_div_14,-1.0,-0.9049999999999864,-5.085000000000057
semestral,2013-04-19,CLQ2013-CLG2014,rsi_div_14,-1.0,-0.7150000000000029,-5.800000000000059
semestral,2013-04-25,CLN2013-CLF2014,rsi_div_14,-1.0,0.3950000000000108,-5.405000000000048
semestral,2013-04-29,CLV2013-CLJ2014,rsi_div_14,-1.0,0.005000000000010232,-5.400000000000038
semestral,2013-04-29,CLU2013-CLH2014,rsi_div_14,-1.0,0.4150000000000068,-4.9850000000000305
semestral,2013-05-22,CLX2013-CLK2014,rsi_div_14,1.0,1.2849999999999973,-3.700000000000033
semestral,2013-05-22,CLK2014-CLX2014,level_z,1.0,0.05499999999999318,-3.64500000000004
semestral,2013-05-24,CLH2014-CLU2014,level_z,1.0,1.2549999999999961,-2.390000000000044
semestral,2013-05-28,CLQ2013-CLG2014,rsi_div_14,-1.0,-1.3350000000000073,-3.725000000000051
semestral,2013-05-29,CLF2014-CLN2014,level_z,1.0,1.974999999999995,-1.7500000000000562
semestral,2013-06-05,CLG2014-CLQ2014,level_z,1.0,1.88500000000002,0.13499999999996382
semestral,2013-06-05,CLU2013-CLH2014,rsi_div_14,-1.0,-5.165000000000005,-5.030000000000042
semestral,2013-06-21,CLJ2014-CLV2014,level_z,1.0,1.9349999999999887,-3.095000000000053
semestral,2013-06-26,CLM2014-CLZ2014,level_z,1.0,0.9350000000000028,-2.1600000000000503
semestral,2013-07-08,CLK2014-CLX2014,level_z,1.0,1.3250000000000035,-0.8350000000000468
semestral,2013-07-24,CLN2014-CLF2015,level_z,1.0,1.4950000000000052,0.6599999999999584
semestral,2013-07-29,CLM2014-CLZ2014,level_z,1.0,1.4249999999999978,2.0849999999999564
semestral,2013-07-29,CLV2013-CLJ2014,rsi_div_14,1.0,0.7050000000000131,2.7899999999999694
semestral,2013-07-29,CLX2013-CLK2014,rsi_div_14,1.0,0.46500000000000397,3.2549999999999732
semestral,2013-08-02,CLJ2014-CLV2014,level_z,1.0,1.5150000000000154,4.769999999999989
semestral,2013-08-09,CLZ2013-CLM2014,rsi_div_14,-1.0,-0.9450000000000068,3.824999999999982
semestral,2013-08-14,CLK2014-CLX2014,level_z,1.0,0.965000000000004,4.789999999999986
semestral,2013-08-16,CLH2014-CLU2014,level_z,1.0,0.10500000000000455,4.894999999999991
semestral,2013-08-19,CLQ2014-CLG2015,level_z,1.0,-0.5849999999999932,4.309999999999998
semestral,2013-08-20,CLG2014-CLQ2014,level_z,1.0,-0.10500000000000341,4.204999999999995
semestral,2013-08-29,CLX2013-CLK2014,rsi_div_14,-1.0,3.8350000000000084,8.040000000000003
semestral,2013-09-09,CLJ2014-CLV2014,level_z,1.0,-1.104999999999989,6.935000000000014
semestral,2013-09-12,CLN2014-CLF2015,level_z,1.0,-1.4050000000000005,5.530000000000014
semestral,2013-09-18,CLU2014-CLH2015,level_z,1.0,-0.8650000000000085,4.665000000000005
semestral,2013-09-19,CLZ2013-CLM2014,rsi_div_14,-1.0,3.7149999999999896,8.379999999999995
semestral,2013-09-19,CLK2014-CLX2014,level_z,1.0,-0.7850000000000102,7.5949999999999855
semestral,2013-09-19,CLM2014-CLZ2014,level_z,1.0,-0.5949999999999841,7.000000000000002
