family,date,contract,feature,side,pnl,cum_pnl
yearly,2012-04-25,CLF2013-CLF2014,rsi_div_14,-1.0,4.559999999999999,4.559999999999999
yearly,2012-06-17,CLF2013-CLF2014,rsi_div_14,-1.0,0.98,5.539999999999999
yearly,2012-06-17,CLG2013-CLG2014,rsi_div_14,-1.0,2.8299999999999943,8.369999999999994
yearly,2012-07-23,CLF2013-CLF2014,rsi_div_14,1.0,1.3099999999999983,9.679999999999993
yearly,2012-07-23,CLG2013-CLG2014,rsi_div_14,1.0,1.059999999999984,10.739999999999977
yearly,2012-08-29,CLG2013-CLG2014,rsi_div_14,1.0,1.0899999999999852,11.829999999999963
yearly,2012-09-06,CLF2013-CLF2014,rsi_div_14,1.0,-1.4100000000000006,10.419999999999963
yearly,2012-09-18,CLH2013-CLH2014,rsi_div_14,1.0,-4.060000000000006,6.359999999999957
yearly,2012-10-15,CLG2013-CLG2014,rsi_div_14,-1.0,1.1099999999999954,7.469999999999953
yearly,2012-10-17,CLF2013-CLF2014,rsi_div_14,-1.0,3.2700000000000062,10.73999999999996
yearly,2012-11-18,CLG2013-CLG2014,rsi_div_14,-1.0,0.12000000000000056,10.85999999999996
yearly,2012-11-21,CLH2013-CLH2014,rsi_div_14,-1.0,-2.2299999999999938,8.629999999999967
yearly,2012-11-21,CLJ2013-CLJ2014,rsi_div_14,-1.0,-0.9799999999999938,7.649999999999974
yearly,2012-12-04,CLN2013-CLN2014,rsi_div_14,-1.0,-2.039999999999996,5.609999999999978
yearly,2012-12-31,CLH2013-CLH2014,rsi_div_14,-1.0,-1.829999999999988,3.77999999999999
yearly,2013-01-25,CLJ2013-CLJ2014,rsi_div_14,1.0,-1.779999999999991,1.9999999999999991
yearly,2013-02-04,CLK2013-CLK2014,rsi_div_14,1.0,0.08999999999998522,2.0899999999999843
yearly,2013-02-07,CLQ2013-CLQ2014,rsi_div_14,1.0,0.8399999999999994,2.9299999999999837
yearly,2013-02-08,CLM2013-CLM2014,rsi_div_14,1.0,0.5700000000000034,3.499999999999987
yearly,2013-02-08,CLN2013-CLN2014,rsi_div_14,1.0,0.46999999999999487,3.969999999999982
yearly,2013-02-14,CLU2013-CLU2014,rsi_div_14,1.0,-0.5999999999999983,3.3699999999999837
yearly,2013-03-08,CLV2013-CLV2014,rsi_div_14,-1.0,1.6500000000000017,5.019999999999985
yearly,2013-03-08,CLX2013-CLX2014,rsi_div_14,-1.0,2.73,7.749999999999986
